profile,variant,total_cycles,total_txn,cycles_per_txn,accepted_per_cycle,mode,mode_count,mode_min_latency_cycles,mode_mean_latency_cycles,mode_p50_latency_cycles,mode_p95_latency_cycles,mode_p99_latency_cycles,mode_max_latency_cycles,mode_throughput_txn_per_cycle,mode_collateral_slowdown_pct_vs_baseline,profile_cycles_per_txn_improvement_pct_vs_b1
uniform_random_modes,baseline,1295262,200000,6.4763,0.154409,Q8_ENC,50170,16,109.854,109,169,192,244,0.038733,,
uniform_random_modes,baseline,1295262,200000,6.4763,0.154409,Q8_DEC,49873,16,110.065,109,169,194,243,0.038504,,
uniform_random_modes,baseline,1295262,200000,6.4763,0.154409,Q4_ENC,49818,20,121.852,121,181,205,260,0.038462,,
uniform_random_modes,baseline,1295262,200000,6.4763,0.154409,Q4_DEC,50139,12,110.049,109,169,193,261,0.03871,,
uniform_random_modes,b1_full_serialization,2363934,200000,11.8197,0.084605,Q8_ENC,49664,46,210.136,212,269,290,334,0.021009,91.29,
uniform_random_modes,b1_full_serialization,2363934,200000,11.8197,0.084605,Q8_DEC,50348,48,195.093,197,255,277,327,0.021298,77.25,
uniform_random_modes,b1_full_serialization,2363934,200000,11.8197,0.084605,Q4_ENC,49848,20,206.942,209,267,288,340,0.021087,69.83,
uniform_random_modes,b1_full_serialization,2363934,200000,11.8197,0.084605,Q4_DEC,50140,32,194.633,196,255,276,320,0.02121,76.86,
uniform_random_modes,b2_shadow_depth_1,1591816,200000,7.9591,0.125643,Q8_ENC,50173,24,149.666,148,201,225,300,0.031519,36.24,32.66
uniform_random_modes,b2_shadow_depth_1,1591816,200000,7.9591,0.125643,Q8_DEC,49815,31,138.305,138,188,210,277,0.031294,25.66,32.66
uniform_random_modes,b2_shadow_depth_1,1591816,200000,7.9591,0.125643,Q4_ENC,50010,38,146.311,145,196,217,275,0.031417,20.07,32.66
uniform_random_modes,b2_shadow_depth_1,1591816,200000,7.9591,0.125643,Q4_DEC,50002,26,137.808,137,187,209,284,0.031412,25.22,32.66
uniform_random_modes,b2_shadow_depth_2,1513432,200000,7.5672,0.13215,Q8_ENC,49953,26,145.241,143,197,221,284,0.033006,32.21,35.98
uniform_random_modes,b2_shadow_depth_2,1513432,200000,7.5672,0.13215,Q8_DEC,49495,27,133.418,132,184,207,273,0.032704,21.22,35.98
uniform_random_modes,b2_shadow_depth_2,1513432,200000,7.5672,0.13215,Q4_ENC,50303,39,142.34,141,192,216,282,0.033238,16.81,35.98
uniform_random_modes,b2_shadow_depth_2,1513432,200000,7.5672,0.13215,Q4_DEC,50249,23,133.226,132,184,208,282,0.033202,21.06,35.98
100pct_Q8_ENC,baseline,404342,200000,2.0217,0.494631,Q8_ENC,200000,9,52.826,53,94,105,128,0.494631,,
100pct_Q8_ENC,b1_full_serialization,4141641,200000,20.7082,0.04829,Q8_ENC,200000,23,351.021,347,373,375,389,0.04829,564.49,
100pct_Q8_ENC,b2_shadow_depth_1,4341641,200000,21.7082,0.046066,Q8_ENC,200000,25,368.021,364,390,392,402,0.046066,596.67,-4.83
100pct_Q8_ENC,b2_shadow_depth_2,4341643,200000,21.7082,0.046066,Q8_ENC,200000,25,368.017,364,390,392,405,0.046066,596.66,-4.83
100pct_Q8_DEC,baseline,404656,200000,2.0233,0.494247,Q8_DEC,200000,9,49.924,48,93,104,132,0.494247,,
100pct_Q8_DEC,b1_full_serialization,404685,200000,2.0234,0.494212,Q8_DEC,200000,9,50.841,50,93,104,136,0.494212,1.84,
100pct_Q8_DEC,b2_shadow_depth_1,404911,200000,2.0246,0.493936,Q8_DEC,200000,9,52.46,52,94,104,130,0.493936,5.08,-0.06
100pct_Q8_DEC,b2_shadow_depth_2,405337,200000,2.0267,0.493417,Q8_DEC,200000,9,51.546,51,94,105,135,0.493417,3.25,-0.16
100pct_Q4_ENC,baseline,3541641,200000,17.7082,0.056471,Q4_ENC,200000,20,300.019,296,322,324,336,0.056471,,
100pct_Q4_ENC,b1_full_serialization,3541643,200000,17.7082,0.056471,Q4_ENC,200000,20,300.029,296,322,324,335,0.056471,0.0,
100pct_Q4_ENC,b2_shadow_depth_1,3741641,200000,18.7082,0.053452,Q4_ENC,200000,21,317.024,313,339,341,352,0.053452,5.67,-5.65
100pct_Q4_ENC,b2_shadow_depth_2,3741641,200000,18.7082,0.053452,Q4_ENC,200000,21,317.023,313,339,341,351,0.053452,5.67,-5.65
100pct_Q4_DEC,baseline,404003,200000,2.02,0.495046,Q4_DEC,200000,9,52.814,53,94,105,127,0.495046,,
100pct_Q4_DEC,b1_full_serialization,405544,200000,2.0277,0.493165,Q4_DEC,200000,9,50.931,50,93,104,138,0.493165,-3.57,
100pct_Q4_DEC,b2_shadow_depth_1,404356,200000,2.0218,0.494614,Q4_DEC,200000,9,51.165,50,93,104,120,0.494614,-3.12,0.29
100pct_Q4_DEC,b2_shadow_depth_2,403553,200000,2.0178,0.495598,Q4_DEC,200000,9,51.597,51,92,104,143,0.495598,-2.3,0.49
alt_Q8ENC_Q4DEC,baseline,399669,200000,1.9983,0.500414,Q8_ENC,100000,9,93.9,93,111,119,137,0.250207,,
alt_Q8ENC_Q4DEC,baseline,399669,200000,1.9983,0.500414,Q4_DEC,100000,9,93.901,93,111,119,138,0.250207,,
alt_Q8ENC_Q4DEC,b1_full_serialization,2870666,200000,14.3533,0.06967,Q8_ENC,100000,28,250.347,249,262,264,278,0.034835,166.61,
alt_Q8ENC_Q4DEC,b1_full_serialization,2870666,200000,14.3533,0.06967,Q4_DEC,100000,31,237.652,235,249,251,261,0.034835,153.09,
alt_Q8ENC_Q4DEC,b2_shadow_depth_1,2170670,200000,10.8534,0.092137,Q8_ENC,100000,25,195.36,194,207,209,221,0.046069,108.05,24.38
alt_Q8ENC_Q4DEC,b2_shadow_depth_1,2170670,200000,10.8534,0.092137,Q4_DEC,100000,26,196.364,195,208,211,222,0.046069,109.12,24.38
alt_Q8ENC_Q4DEC,b2_shadow_depth_2,2170666,200000,10.8533,0.092138,Q8_ENC,100000,24,195.358,194,207,209,219,0.046069,108.05,24.38
alt_Q8ENC_Q4DEC,b2_shadow_depth_2,2170666,200000,10.8533,0.092138,Q4_DEC,100000,28,196.359,195,208,211,220,0.046069,109.11,24.38
alt_Q8ENC_Q8DEC,baseline,399729,200000,1.9986,0.500339,Q8_ENC,100000,9,93.913,93,111,119,141,0.250169,,
alt_Q8ENC_Q8DEC,baseline,399729,200000,1.9986,0.500339,Q8_DEC,100000,11,93.914,93,111,119,145,0.250169,,
alt_Q8ENC_Q8DEC,b1_full_serialization,2870665,200000,14.3533,0.06967,Q8_ENC,100000,24,250.344,249,262,264,273,0.034835,166.57,
alt_Q8ENC_Q8DEC,b1_full_serialization,2870665,200000,14.3533,0.06967,Q8_DEC,100000,31,237.655,235,249,251,261,0.034835,153.06,
alt_Q8ENC_Q8DEC,b2_shadow_depth_1,2170670,200000,10.8534,0.092137,Q8_ENC,100000,29,195.349,194,207,209,219,0.046069,108.01,24.38
alt_Q8ENC_Q8DEC,b2_shadow_depth_1,2170670,200000,10.8534,0.092137,Q8_DEC,100000,29,196.354,195,208,211,223,0.046069,109.08,24.38
alt_Q8ENC_Q8DEC,b2_shadow_depth_2,2170667,200000,10.8533,0.092138,Q8_ENC,100000,24,195.349,194,207,209,219,0.046069,108.01,24.38
alt_Q8ENC_Q8DEC,b2_shadow_depth_2,2170667,200000,10.8533,0.092138,Q8_DEC,100000,26,196.352,195,208,211,225,0.046069,109.08,24.38
10pct_Q8ENC_90pct_other,baseline,1487347,200000,7.4367,0.134468,Q8_ENC,20060,21,125.217,124,185,208,266,0.013487,,
10pct_Q8ENC_90pct_other,baseline,1487347,200000,7.4367,0.134468,Q8_DEC,60250,15,125.066,125,185,210,268,0.040508,,
10pct_Q8ENC_90pct_other,baseline,1487347,200000,7.4367,0.134468,Q4_ENC,59567,8,137.433,137,198,221,289,0.040049,,
10pct_Q8ENC_90pct_other,baseline,1487347,200000,7.4367,0.134468,Q4_DEC,60123,9,125.091,124,185,209,280,0.040423,,
10pct_Q8ENC_90pct_other,b1_full_serialization,1937256,200000,9.6863,0.103239,Q8_ENC,20060,40,176.148,177,237,262,299,0.010355,40.67,
10pct_Q8ENC_90pct_other,b1_full_serialization,1937256,200000,9.6863,0.103239,Q8_DEC,59919,27,160.659,161,222,245,301,0.03093,28.46,
10pct_Q8ENC_90pct_other,b1_full_serialization,1937256,200000,9.6863,0.103239,Q4_ENC,60221,22,173.531,174,235,256,306,0.031086,26.27,
10pct_Q8ENC_90pct_other,b1_full_serialization,1937256,200000,9.6863,0.103239,Q4_DEC,59800,29,160.855,161,223,245,303,0.030868,28.59,
10pct_Q8ENC_90pct_other,b2_shadow_depth_1,1378994,200000,6.895,0.145033,Q8_ENC,19966,31,127.885,128,176,199,254,0.014479,2.13,28.82
10pct_Q8ENC_90pct_other,b2_shadow_depth_1,1378994,200000,6.895,0.145033,Q8_DEC,59643,30,120.286,119,169,191,252,0.043251,-3.82,28.82
10pct_Q8ENC_90pct_other,b2_shadow_depth_1,1378994,200000,6.895,0.145033,Q4_ENC,60319,22,130.335,130,181,204,269,0.043741,-5.16,28.82
10pct_Q8ENC_90pct_other,b2_shadow_depth_1,1378994,200000,6.895,0.145033,Q4_DEC,60072,29,119.886,119,169,191,249,0.043562,-4.16,28.82
10pct_Q8ENC_90pct_other,b2_shadow_depth_2,1301439,200000,6.5072,0.153676,Q8_ENC,19817,33,122.875,121,172,194,261,0.015227,-1.87,32.82
10pct_Q8ENC_90pct_other,b2_shadow_depth_2,1301439,200000,6.5072,0.153676,Q8_DEC,60112,22,115.429,114,165,188,248,0.046189,-7.71,32.82
10pct_Q8ENC_90pct_other,b2_shadow_depth_2,1301439,200000,6.5072,0.153676,Q4_ENC,59787,21,126.601,126,179,202,277,0.045939,-7.88,32.82
10pct_Q8ENC_90pct_other,b2_shadow_depth_2,1301439,200000,6.5072,0.153676,Q4_DEC,60284,25,115.192,113,165,187,258,0.046321,-7.91,32.82
25pct_Q8ENC_75pct_other,baseline,1293977,200000,6.4699,0.154562,Q8_ENC,49987,18,109.842,109,169,194,245,0.038631,,
25pct_Q8ENC_75pct_other,baseline,1293977,200000,6.4699,0.154562,Q8_DEC,50092,20,109.815,109,169,195,248,0.038712,,
25pct_Q8ENC_75pct_other,baseline,1293977,200000,6.4699,0.154562,Q4_ENC,49771,14,121.938,121,182,206,252,0.038464,,
25pct_Q8ENC_75pct_other,baseline,1293977,200000,6.4699,0.154562,Q4_DEC,50150,10,109.628,108,169,194,255,0.038756,,
25pct_Q8ENC_75pct_other,b1_full_serialization,2373271,200000,11.8664,0.084272,Q8_ENC,50141,25,210.86,212,271,291,334,0.021127,91.97,
25pct_Q8ENC_75pct_other,b1_full_serialization,2373271,200000,11.8664,0.084272,Q8_DEC,50012,46,195.741,197,256,277,329,0.021073,78.25,
25pct_Q8ENC_75pct_other,b1_full_serialization,2373271,200000,11.8664,0.084272,Q4_ENC,49955,43,207.593,209,267,288,333,0.021049,70.24,
25pct_Q8ENC_75pct_other,b1_full_serialization,2373271,200000,11.8664,0.084272,Q4_DEC,49892,38,195.61,197,256,278,327,0.021022,78.43,
25pct_Q8ENC_75pct_other,b2_shadow_depth_1,1585184,200000,7.9259,0.126168,Q8_ENC,49929,26,148.993,148,200,225,288,0.031497,35.64,33.21
25pct_Q8ENC_75pct_other,b2_shadow_depth_1,1585184,200000,7.9259,0.126168,Q8_DEC,50292,9,137.523,137,187,209,280,0.031726,25.23,33.21
25pct_Q8ENC_75pct_other,b2_shadow_depth_1,1585184,200000,7.9259,0.126168,Q4_ENC,49866,36,145.874,145,195,217,277,0.031458,19.63,33.21
25pct_Q8ENC_75pct_other,b2_shadow_depth_1,1585184,200000,7.9259,0.126168,Q4_DEC,49913,9,137.531,137,187,209,276,0.031487,25.45,33.21
25pct_Q8ENC_75pct_other,b2_shadow_depth_2,1504517,200000,7.5226,0.132933,Q8_ENC,49870,31,144.839,143,198,221,286,0.033147,31.86,36.61
25pct_Q8ENC_75pct_other,b2_shadow_depth_2,1504517,200000,7.5226,0.132933,Q8_DEC,50370,10,132.644,131,184,207,273,0.033479,20.79,36.61
25pct_Q8ENC_75pct_other,b2_shadow_depth_2,1504517,200000,7.5226,0.132933,Q4_ENC,49697,11,141.44,140,192,216,282,0.033032,15.99,36.61
25pct_Q8ENC_75pct_other,b2_shadow_depth_2,1504517,200000,7.5226,0.132933,Q4_DEC,50063,9,132.417,131,183,207,256,0.033275,20.79,36.61
realistic_reconstructed_mix_SIMULATED,baseline,666646,200000,3.3332,0.300009,Q8_ENC,40153,9,60.442,56,103,126,177,0.060231,,
realistic_reconstructed_mix_SIMULATED,baseline,666646,200000,3.3332,0.300009,Q8_DEC,79965,9,60.258,56,103,126,185,0.119951,,
realistic_reconstructed_mix_SIMULATED,baseline,666646,200000,3.3332,0.300009,Q4_ENC,19790,13,68.6,64,115,140,188,0.029686,,
realistic_reconstructed_mix_SIMULATED,baseline,666646,200000,3.3332,0.300009,Q4_DEC,60092,9,60.234,56,103,125,192,0.090141,,
realistic_reconstructed_mix_SIMULATED,b1_full_serialization,1611843,200000,8.0592,0.124082,Q8_ENC,39980,24,150.269,150,216,241,297,0.024804,148.62,
realistic_reconstructed_mix_SIMULATED,b1_full_serialization,1611843,200000,8.0592,0.124082,Q8_DEC,80282,20,134.996,134,201,228,287,0.049808,124.03,
realistic_reconstructed_mix_SIMULATED,b1_full_serialization,1611843,200000,8.0592,0.124082,Q4_ENC,19682,30,147.516,147,214,238,283,0.012211,115.04,
realistic_reconstructed_mix_SIMULATED,b1_full_serialization,1611843,200000,8.0592,0.124082,Q4_DEC,60056,25,135.247,135,201,227,277,0.037259,124.54,
realistic_reconstructed_mix_SIMULATED,b2_shadow_depth_1,1152963,200000,5.7648,0.173466,Q8_ENC,39762,19,113.364,112,166,191,272,0.034487,87.56,28.47
realistic_reconstructed_mix_SIMULATED,b2_shadow_depth_1,1152963,200000,5.7648,0.173466,Q8_DEC,80009,9,101.73,101,151,176,273,0.069394,68.82,28.47
realistic_reconstructed_mix_SIMULATED,b2_shadow_depth_1,1152963,200000,5.7648,0.173466,Q4_ENC,20086,26,108.071,106,159,183,256,0.017421,57.54,28.47
realistic_reconstructed_mix_SIMULATED,b2_shadow_depth_1,1152963,200000,5.7648,0.173466,Q4_DEC,60143,9,101.796,101,152,176,269,0.052164,69.0,28.47
realistic_reconstructed_mix_SIMULATED,b2_shadow_depth_2,1088697,200000,5.4435,0.183706,Q8_ENC,39888,26,110.798,109,163,189,252,0.036638,83.31,32.46
realistic_reconstructed_mix_SIMULATED,b2_shadow_depth_2,1088697,200000,5.4435,0.183706,Q8_DEC,79992,9,98.469,97,147,173,249,0.073475,63.41,32.46
realistic_reconstructed_mix_SIMULATED,b2_shadow_depth_2,1088697,200000,5.4435,0.183706,Q4_ENC,19962,21,104.808,102,155,181,239,0.018336,52.78,32.46
realistic_reconstructed_mix_SIMULATED,b2_shadow_depth_2,1088697,200000,5.4435,0.183706,Q4_DEC,60158,12,98.365,97,147,173,249,0.055257,63.3,32.46
