variant,profile,mode,count,cycles_per_txn,accepted_per_cycle,min,mean,p50,p95,p99,max,throughput_txn_per_cycle
baseline,uniform_random_modes,Q8_ENC,49918,6.4698,0.154565,14,109.691,109,169,194,256,0.038578
baseline,uniform_random_modes,Q8_DEC,50039,6.4698,0.154565,14,109.756,109,170,194,254,0.038671
baseline,uniform_random_modes,Q4_ENC,49768,6.4698,0.154565,24,122.045,121,182,207,259,0.038462
baseline,uniform_random_modes,Q4_DEC,50275,6.4698,0.154565,9,109.690,109,169,194,259,0.038854
baseline,realistic_reconstructed_mix_SIMULATED,Q8_ENC,40112,3.3288,0.300409,9,60.433,56,102,125,183,0.060250
baseline,realistic_reconstructed_mix_SIMULATED,Q8_DEC,79802,3.3288,0.300409,9,60.265,56,102,126,186,0.119866
baseline,realistic_reconstructed_mix_SIMULATED,Q4_ENC,19795,3.3288,0.300409,14,68.620,64,116,139,200,0.029733
baseline,realistic_reconstructed_mix_SIMULATED,Q4_DEC,60291,3.3288,0.300409,9,60.309,56,103,126,202,0.090560
baseline,10pct_Q8ENC_90pct_other,Q8_ENC,19801,7.4335,0.134527,9,125.346,125,185,207,255,0.013319
baseline,10pct_Q8ENC_90pct_other,Q8_DEC,60463,7.4335,0.134527,9,124.939,124,185,209,279,0.040669
baseline,10pct_Q8ENC_90pct_other,Q4_ENC,59574,7.4335,0.134527,24,137.466,137,198,221,281,0.040072
baseline,10pct_Q8ENC_90pct_other,Q4_DEC,60162,7.4335,0.134527,9,125.022,124,185,208,279,0.040467
baseline,20pct_Q8ENC_80pct_other,Q8_ENC,39836,6.8912,0.145113,9,116.600,116,176,201,246,0.028904
baseline,20pct_Q8ENC_80pct_other,Q8_DEC,54201,6.8912,0.145113,9,116.464,116,177,201,267,0.039326
baseline,20pct_Q8ENC_80pct_other,Q4_ENC,53935,6.8912,0.145113,20,128.759,128,189,212,268,0.039133
baseline,20pct_Q8ENC_80pct_other,Q4_DEC,52028,6.8912,0.145113,13,116.377,116,176,200,257,0.037750
baseline,25pct_Q8ENC_75pct_other,Q8_ENC,50043,6.4931,0.154009,10,110.071,109,169,194,275,0.038535
baseline,25pct_Q8ENC_75pct_other,Q8_DEC,49860,6.4931,0.154009,9,110.315,109,170,194,256,0.038394
baseline,25pct_Q8ENC_75pct_other,Q4_ENC,49997,6.4931,0.154009,23,122.337,122,182,207,276,0.038500
baseline,25pct_Q8ENC_75pct_other,Q4_DEC,50100,6.4931,0.154009,9,110.127,109,169,195,254,0.038579
baseline,40pct_Q8ENC_60pct_other,Q8_ENC,79861,5.4345,0.184010,13,93.472,92,151,176,235,0.073476
baseline,40pct_Q8ENC_60pct_other,Q8_DEC,40482,5.4345,0.184010,16,93.444,92,151,176,230,0.037245
baseline,40pct_Q8ENC_60pct_other,Q4_ENC,39738,5.4345,0.184010,18,104.939,104,163,187,241,0.036561
baseline,40pct_Q8ENC_60pct_other,Q4_DEC,39919,5.4345,0.184010,14,93.423,92,150,174,235,0.036727
baseline,60pct_Q8ENC_40pct_other,Q8_ENC,119847,3.9964,0.250222,9,70.652,67,120,145,208,0.149942
baseline,60pct_Q8ENC_40pct_other,Q8_DEC,27899,3.9964,0.250222,9,70.428,67,120,144,195,0.034905
baseline,60pct_Q8ENC_40pct_other,Q4_ENC,26181,3.9964,0.250222,14,80.544,78,133,159,215,0.032755
baseline,60pct_Q8ENC_40pct_other,Q4_DEC,26073,3.9964,0.250222,9,70.661,68,119,143,210,0.032620
baseline,100pct_Q8_ENC,Q8_ENC,200000,2.0147,0.496352,9,49.896,49,91,103,132,0.496352
baseline,100pct_Q8_DEC,Q8_DEC,200000,2.0250,0.493824,9,51.812,51,94,105,150,0.493824
baseline,100pct_Q4_ENC,Q4_ENC,200000,17.7082,0.056471,23,300.024,296,322,324,346,0.056471
baseline,100pct_Q4_DEC,Q4_DEC,200000,2.0231,0.494284,9,50.548,49,93,104,125,0.494284
baseline,alt_Q8ENC_Q4DEC,Q8_ENC,100000,2.0007,0.499828,10,94.012,94,111,119,137,0.249914
baseline,alt_Q8ENC_Q4DEC,Q4_DEC,100000,2.0007,0.499828,10,94.012,94,111,119,136,0.249914
baseline,alt_Q8ENC_Q8DEC,Q8_ENC,100000,2.0013,0.499675,10,94.042,94,111,119,144,0.249838
baseline,alt_Q8ENC_Q8DEC,Q8_DEC,100000,2.0013,0.499675,11,94.043,94,111,119,142,0.249838
baseline,alt_Q4ENC_Q4DEC,Q4_ENC,100000,12.8533,0.077801,22,223.346,222,235,237,248,0.038900
baseline,alt_Q4ENC_Q4DEC,Q4_DEC,100000,12.8533,0.077801,27,213.652,211,225,227,235,0.038900
baseline,adversarial_HOL_pattern,Q8_ENC,33334,1.9951,0.501229,9,93.744,93,111,119,136,0.083540
